id,pubtime,title,des,content,img,url,time,address,type,gname,nwound,nkill,total
117,2017-08-31 21:45,俄联邦安全局已拘留2名策划9月1日在莫斯科实施恐袭的中亚人,俄罗斯卫星通讯社莫斯科8月31日电 俄罗斯联邦安全局信息中心发布消息称，安全局已拘留2名策划9月1日在莫斯科实施恐袭的中亚移民。,俄罗斯卫星通讯社莫斯科8月31日电 俄罗斯联邦安全局信息中心发布消息称，安全局已拘留2名策划9月1日在莫斯科实施恐袭的中亚移民。,http://sputniknews.cn/images/102130/87/1021308720.jpg;http://sputniknews.cn/images/102291/06/1022910613.jpg,http://sputniknews.cn/politics/201708311023489052/,,,None,unknown,0,0,"dead:0, hurt:0"
118,2017-06-28 14:22,攻击委最高法院的一伙安全人员要求马杜罗辞职和举行大选,俄罗斯卫星通讯社墨西哥城6月28日电 以警官奥斯卡∙佩雷斯为首攻击最高法院的一伙委情报部门雇员要求总统马杜罗立即辞职并提前大选，他们还称展开了地面和空中部队。,俄罗斯卫星通讯社墨西哥城6月28日电 以警官奥斯卡∙佩雷斯为首攻击最高法院的一伙委情报部门雇员要求总统马杜罗立即辞职并提前大选，他们还称展开了地面和空中部队。,http://sputniknews.cn/images/101963/03/1019630384.jpg;http://sputniknews.cn/images/102296/41/1022964104.jpg,http://sputniknews.cn/politics/201706281022965979/,,,None,unknown,0,0,"dead:0, hurt:0"
119,2017-08-20 18:35,媒体：西班牙爆炸后英国加大对租赁车的检查力度,俄罗斯卫星通讯社莫斯科8月20日电 《每日电讯报》（The Daily Telegraph）报道，由于巴塞罗那发生恐袭事件，英国当局根据政府打击极端主义新计划对租赁车进行更多检查。,俄罗斯卫星通讯社莫斯科8月20日电 《每日电讯报》（The Daily Telegraph）报道，由于巴塞罗那发生恐袭事件，英国当局根据政府打击极端主义新计划对租赁车进行更多检查。,http://sputniknews.cn/images/102336/16/1023361609.jpg;http://sputniknews.cn/images/102339/93/1023399343.jpg,http://sputniknews.cn/politics/201708201023404624/,,,None,unknown,0,0,"dead:0, hurt:0"
120,2017-06-10 13:42,英警方新逮捕一参与伦敦桥恐袭嫌疑人,俄罗斯卫星通讯社莫斯科6月10日电 英国警方宣称因伦敦桥恐袭又逮捕一人。,俄罗斯卫星通讯社莫斯科6月10日电 英国警方宣称因伦敦桥恐袭又逮捕一人。,http://sputniknews.cn/images/102218/30/1022183074.jpg;http://sputniknews.cn/images/102268/78/1022687838.jpg,http://sputniknews.cn/society/201706101022831097/,,,None,unknown,0,0,"dead:0, hurt:0"
121,2017-06-15 19:52,伦敦警方不认为高层公寓楼大火源自恐怖袭击,俄罗斯卫星通讯社莫斯科6月15日电  英国伦敦警方代表斯图尔特·康提对媒体表示，他们不认为伦敦西部高层公寓楼火灾是恐怖袭击造成的。,俄罗斯卫星通讯社莫斯科6月15日电  英国伦敦警方代表斯图尔特·康提对媒体表示，他们不认为伦敦西部高层公寓楼火灾是恐怖袭击造成的。,http://sputniknews.cn/images/102285/78/1022857889.jpg;http://sputniknews.cn/images/102285/40/1022854047.jpg,http://sputniknews.cn/society/201706151022869783/,,,None,unknown,0,0,"dead:0, hurt:0"
122,2017-08-20 17:33,媒体：西班牙恐怖袭击主要策划者是加泰罗尼亚里波尔市伊玛目,俄罗斯卫星通讯社马德里8月20日电《国家报》（El País）报道，（希罗纳省）加泰罗尼亚里波尔市清真寺伊玛目、摩洛哥人萨蒂（Abdelbaki Es Satty）是西班牙恐袭的主要策划者。,俄罗斯卫星通讯社马德里8月20日电《国家报》（El País）报道，（希罗纳省）加泰罗尼亚里波尔市清真寺伊玛目、摩洛哥人萨蒂（Abdelbaki Es Satty）是西班牙恐袭的主要策划者。,http://sputniknews.cn/images/102339/93/1023399342.jpg;http://sputniknews.cn/images/102340/35/1023403569.jpg,http://sputniknews.cn/politics/201708201023404564/,,,None,unknown,0,0,"dead:0, hurt:0"
123,2017-08-16 19:51,俄安全会议秘书称俄交通基础设施仍是恐怖分子的优先袭击目标,俄罗斯卫星通讯社梁赞8月16日电 俄安全会议秘书帕特鲁舍夫表示，俄罗斯交通设施仍旧是国际恐怖分子实施袭击的优先目标。,俄罗斯卫星通讯社梁赞8月16日电 俄安全会议秘书帕特鲁舍夫表示，俄罗斯交通设施仍旧是国际恐怖分子实施袭击的优先目标。,http://sputniknews.cn/images/102291/06/1022910612.jpg;http://sputniknews.cn/images/101784/32/1017843202.jpg,http://sputniknews.cn/russia/201708161023377590/,,,None,unknown,0,0,"dead:0, hurt:0"
124,2017-06-30 15:59,中国大公司的首席执行官们相信自己却不相信世界经济,中国大型公司的首席执行官们对世界经济的前景持悲观看法，但他们对自家企业的前景持乐观态度。这是毕马威咨询公司（KPMG）对总部设在中国的１２５家全球性公司的首席执行官（СЕО）开展民调时发现的。中国问题专家、俄罗斯《生意人报》记者米哈伊尔·科罗斯季科夫为俄罗斯卫星通讯社和广播电台对毕马威咨询公司的民调结果进行了解读。,中国大型公司的首席执行官们对世界经济的前景持悲观看法，但他们对自家企业的前景持乐观态度。这是毕马威咨询公司（KPMG）对总部设在中国的１２５家全球性公司的首席执行官（СЕО）开展民调时发现的。中国问题专家、俄罗斯《生意人报》记者米哈伊尔·科罗斯季科夫为俄罗斯卫星通讯社和广播电台对毕马威咨询公司的民调结果进行了解读。,http://sputniknews.cn/images/101556/79/1015567950.jpg;http://sputniknews.cn/images/102153/94/1021539491.jpg,http://sputniknews.cn/china/201706301022982145/,,,None,unknown,0,0,"dead:0, hurt:0"
125,2017-07-24 11:45,媒体：20多人死于阿富汗首都的爆炸中,俄罗斯卫星通讯社莫斯科7月24日电 据Tolo News援引阿富汗第二副首席执行官办公室的消息称，20多人死于自杀式袭击者在喀布尔制造的爆炸中，恐怖袭击发生于副首席执行官官邸附近。,俄罗斯卫星通讯社莫斯科7月24日电 据Tolo News援引阿富汗第二副首席执行官办公室的消息称，20多人死于自杀式袭击者在喀布尔制造的爆炸中，恐怖袭击发生于副首席执行官官邸附近。,http://sputniknews.cn/images/102252/05/1022520547.jpg;http://sputniknews.cn/images/102274/67/1022746766.jpg,http://sputniknews.cn/society/201707241023187590/,,,,unknown,0,0,"dead:0, hurt:0"
126,2017-12-14 21:39,普京总统记者会持续近4小时,俄联邦总统年度大型记者会持续了3小时40分钟。在此期间，国家元首共回答了54位记者提出的73个问题。,俄联邦总统年度大型记者会持续了3小时40分钟。在此期间，国家元首共回答了54位记者提出的73个问题。,http://sputniknews.cn/images/102428/52/1024285251.jpg;http://sputniknews.cn/images/102428/61/1024286146.jpg,http://sputniknews.cn/politics/201712141024287092/,,,None,unknown,0,0,"dead:0, hurt:0"
